A_1	14_97_F
A_2	14_105_F
A_3	14_113_M
A_4	14_121_M
A_5	12_1_M
A_6	12_9_F
A_7	12_17_M
A_8	12_25_M
A_9	12_33_M
A_10	12_41_M
A_11	12_49_M
A_12	12_57_M
B_1	14_98_F
B_2	14_106_F
B_3	14_114_M
B_4	14_122_F
B_5	12_2_M
B_6	12_10_F
B_7	12_18_M
B_8	12_26_F
B_9	12_34_M
B_10	12_42_M
B_11	12_50_M
B_12	12_58_M
C_1	14_99_M
C_2	14_107_M
C_3	14_115_M
C_4	14_123_M
C_5	12_3_M
C_6	12_11_M
C_7	12_19_F
C_8	12_27_F
C_9	12_35_F
C_10	12_43_M
C_11	12_51_M
C_12	12_59_M
D_1	14_100_F
D_2	14_108_M
D_3	14_116_F
D_4	14_124_F
D_5	12_4_M
D_6	12_12_M
D_7	12_20_M
D_8	12_28_M
D_9	12_36_M
D_10	12_44_F
D_11	12_52_F
D_12	12_60_F
E_1	14_101_F
E_2	14_109_M
E_3	14_117_M
E_4	14_125_F
E_5	12_5_M
E_6	12_13_M
E_7	12_21_M
E_8	12_29_M
E_9	12_37_M
E_10	12_45_F
E_11	12_53_F
E_12	12_61_F
F_1	14_102_M
F_2	14_110_F
F_3	14_118_M
F_4	14_126_M
F_5	12_6_M
F_6	12_14_F
F_7	12_22_M
F_8	12_30_F
F_9	12_38_F
F_10	12_46_M
F_11	12_54_M
F_12	12_62_M
G_1	14_103_M
G_2	14_111_M
G_3	14_119_F
G_4	14_127_M
G_5	12_7_M
G_6	12_15_M
G_7	12_23_F
G_8	12_31_M
G_9	12_39_M
G_10	12_47_F
G_11	12_55_M
G_12	12_63_M
H_1	14_104_M
H_2	14_112_F
H_3	14_120_M
H_4	14_128_F
H_5	12_8_M
H_6	12_16_M
H_7	12_24_M
H_8	12_32_M
H_9	12_40_M
H_10	12_48_F
H_11	12_56_M
H_12	12_64_M

